"file","count"
"C:\\Users\\user\\Documents\\frontend\\lib\\localization\\demo_localization.dart","83"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\teams\\teams_statistics_page.dart","82"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\player\\details\\playerDetails.dart","61"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\player\\playerProfilePage.dart","60"
"C:\\Users\\user\\Documents\\frontend\\lib\\main.dart","58"
"C:\\Users\\user\\Documents\\frontend\\lib\\models\\details.dart","53"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\navigation\\pages\\navigation_draw.dart","49"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\following\\following_bloc.dart","49"
"C:\\Users\\user\\Documents\\frontend\\lib\\apptheme.dart","49"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\teams\\teams_page_standing.dart","46"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\team\\teams_choosing_fav.dart","41"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\matchDetail.dart","39"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\main_news\\news_detail.dart","38"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\transfer_news\\top_transfer\\transferpage.dart","37"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\payment\\pages\\chapa_payment.dart","35"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\onboarding\\pages\\choos_fav_players_list.dart","35"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\match_detail\\match_info_tab.dart","34"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\navigation\\pages\\settings_page.dart","34"
"C:\\Users\\user\\Documents\\frontend\\lib\\components\\routes.dart","31"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\navigation\\pages\\quiz\\quiz.dart","31"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\player\\playerTab.dart","31"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\team\\team_profile_page.dart","29"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\match_detail\\lineups.dart","29"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\onboarding\\pages\\team_list_page.dart","28"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\player\\matches_view\\matches\\previous_and_next_matches_of_team.dart","28"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\team\\teamTab.dart","27"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\enadamt\\pages\\enadamt\\program_detail_page.dart","26"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\main_news\\news_feed.dart","26"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\auth\\pages\\upload_profile_pic_page.dart","25"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\tv\\pages\\Tv\\highlight\\Highlight_player.dart","25"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\standings\\bloc\\content_state.dart","25"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\mirchaweche\\players\\player_teammates\\teammates_bloc.dart","24"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\player\\player_search_page.dart","24"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\navigation\\pages\\notifications_page.dart","23"
"C:\\Users\\user\\Documents\\frontend\\lib\\data\\repositories\\matches_repository.dart","23"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\teams\\team_squad_page.dart","23"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\auth\\pages\\profile.dart","23"
